,id,parentId
31488,axillary nerve component of posterior root of right sixth cervical nerve,axillary nerve component of posterior root of sixth cervical nerve
31489,ovarian cancer,malignant neoplastic disease
31490,set of external nasal branches of infra-orbital nerve,set of nerves
31491,sialodochitis,sialadenitis
31492,multiple areas same body region,property related to additional imaging
31493,proximal tendon of left subclavius,proximal tendon of subclavius
31494,tendon of extensor digitorum longus to fifth toe,extensor digitorum longus tendon
31495,ulnocarpal articulation,wrist joint
31496,treatment technique,surgery descriptor
31497,first left marginal artery,left marginal artery
31498,posterior ramus of left tenth thoracic nerve,posterior ramus of tenth thoracic nerve
31499,oval,morphologic descriptor
31500,dura mater of anterior root of fourth lumbar nerve,dura mater of anterior root of lumbar nerve
31501,interlobular vein of liver,tributary of hepatic portal vein
31502,branch of anterior division of anterior ramus of fifth cervical nerve,branch of anterior ramus of fifth cervical nerve
31503,segment of Brodmann area 52,segment of Brodmann area
31504,multi-element transducer,ultrasound transducer
31505,central region of intercondylar eminence of right tibia,central region of intercondylar eminence of tibia
31506,internal granular layer of parietal lobe,lamina of cortex of parietal lobe
31507,neuroglial network of T3 segment of spinal cord,neuroglial network of thoracic subsegment of spinal cord
31508,AudioTransmit,workflow term
31509,nerve to flexor digitorum profundus,muscular branch of anterior interosseous nerve
31510,transversus thoracis,muscle of thorax
31511,nerve to popliteus,muscular branch of tibial nerve
31512,artery of postcentral sulcus,superior terminal branch of middle cerebral artery
31513,c4 segment of ventral gray column of spinal cord,cervical subsegment of ventral gray column of spinal cord
31514,mesothelial cyst,cyst
31515,medial tubercle,tubercle of bone
31516,segment of Brodmann area 41,segment of Brodmann area
31517,voiding urethrography,urethrography
31518,radial nerve component of trunk of anterior ramus of right fifth cervical nerve,radial nerve component of trunk of anterior ramus of fifth cervical nerve
31519,tendon of gastrocnemius,tendon
31520,multiform layer of left temporal lobe,multiform layer of temporal lobe
31521,distal metaphysis of proximal phalanx of middle finger,distal metaphysis of phalanx of middle finger
31522,ventral striatum,striatum of neuraxis
31523,cervical segment of left ventral gray column of spinal cord,cervical segment of ventral gray column of spinal cord
31524,surgical biopsy,biopsy
31525,deltoid branch of posterior branch of right axillary nerve,deltoid branch of posterior branch of axillary nerve
31526,diaphragmatic branch of left phrenic nerve,diaphragmatic branch of phrenic nerve
31527,prominence of facial canal,zone of petrous part of temporal bone
31528,nerve to right vertical muscle fo tongue,nerve to vertical muscle of tongue
31529,left pectoral part of chest,pectoral part of chest
31530,vascularity present immediately adjacent to lesion,tumor vascularity
31531,nerve to right soleus,nerve to soleus
31532,internal pyramidal layer of right Brodmann area 42,internal pyramidal layer of Brodmann area 42
31533,bone of glenoid cavity,zone of scapula
31534,basic analytical difficulty,analytical difficulty
31535,bronchioloalveolar carcinoma,carcinoma
31536,vitreous stroma,stroma
31537,posterior rootlet of ninth thoracic nerve,posterior rootlet of thoracic nerve
31538,sulcal segment of right superior temporal gyrus,sulcal segment of superior temporal gyrus
31539,communicating branch of left iliohypogastric nerve with left subcostal nerve,communicating branch of iliohypogastric nerve with subcostal nerve
31540,deep circumflex iliac artery,subdivision of external iliac artery
31541,interpositospinal tract,tract of spinal cord
31542,trunk of perineal branch of right posterior femoral cutaneous nerve,trunk of perineal branch of posterior femoral cutaneous nerve
31543,left posterior segmental bronchus,posterior segmental bronchus
31544,vastus intermedius branch of left femoral nerve (2),vastus intermedius branch of femoral nerve (2)
31545,left ciliary ganglion,ciliary ganglion
31546,suprapyloric lymph node,pyloric lymph node
31547,skin of plantar part of fourth toe,skin of plantar part of toe
31548,neuroglial network of gray matter of T5 segment,neuroglial network of gray matter of thoracic subsegment of spinal cord
31549,Stecher view,named imaging view
31550,superior anterior division segment of sixth cervical nerve,segment of trunk of anterior division of anterior ramus of sixth cervical nerve
31551,lateral cutaneous branch of left subcostal nerve,lateral cutaneous branch of subcostal nerve
31552,superior posterior division segment of C6 root of right axillary nerve,superior posterior division segment of C6 root of axillary nerve
31553,MR coil transmission mode,MR procedure attribute
31554,fissure for ligamentum venosum,hepatic fissure
31555,gray matter of frontal lobe proper,gray matter of gyrus of frontal lobe
31556,adenoma,epithelial neoplasm
31557,medulla part of central canal,region of ventricular system of neuraxis
31558,joint mice,imaging sign
31559,cavity of serous sac,organ cavity
31560,neuronal component of metencephalon,neuronal component of segment of brain
31561,right fifth posterior cervical intertransversarius,fifth posterior cervical intertransversarius
31562,spinalis thoracis,spinalis
31563,muscle of face,muscle of head
31564,reflux esophagitis,esophagitis
31565,soft tissue administration,route of administration
31566,axillary nerve component of anterior root of fifth cervical nerve,segment of C5 root of axillary nerve
31567,occipitotemporal branch of left medial occipital artery,occipitotemporal branch of medial occipital artery
31568,volar ulnocarpal ligament,skeletal ligament
31569,lymphoplasmacyte-rich meningioma,meningioma WHO grade I
31570,intermembranous part of rima glottidis,subdivision of rima glottidis
31571,brodmann area 8 of frontal lobe,segment of Brodmann area 8
31572,anterior ramus of right fifth cervical nerve,anterior ramus of fifth cervical nerve
31573,nodular ganglioneuroblastoma,neuroblastoma
31574,central segment of right second cervical spinal nerve,central segment of second cervical spinal nerve
31575,gray matter of right anterior orbital gyrus,gray matter of anterior orbital gyrus
31576,brodmann area 18 of left lingual gyrus,brodmann area 18 of lingual gyrus
31577,arcuate branch of superior segmental renal artery,arcuate renal artery
31578,external surface of abdominal part of ureter,surface of abdominal part of ureter
31579,empty mediastinum sign,imaging sign
31580,umbilical vein,embryonic structure
31581,right hemiscrotum,subdivision of scrotum
31582,neuroglial network of white matter of sacral subsegment of spinal cord,neuroglial network of white matter of subsegment of spinal cord
31583,medial lacunar lymphatic vessel,external iliac lymphatic vessel
31584,posterior wall of proximal part of ileum,region of wall of ileum
31585,peripheral segment of right ninth thoracic spinal nerve,peripheral segment of ninth thoracic spinal nerve
31586,median nerve component of trunk of anterior division of anterior ramus of first thoracic nerve,segment of T1 root of median nerve
31587,proximal tendon of rectus femoris,tendon of rectus femoris
31588,sympathetic trunk,autonomic nerve
31589,posterior ends of lower ribs,posterior ends of ribs
31590,set of zygomatic branches of facial nerve,set of nerves
31591,set of shoulder vessels,set of upper extremity vessels
31592,proximal tendon of pectoralis minor,pectoralis minor tendon
31593,dorsal digital branch of left radial nerve to medial side of left index finger,dorsal digital branch of radial nerve to medial side of index finger
31594,patellar groove of trochlea of right femur,patellar groove of trochlea of femur
31595,t3 segment of esophagus,vertebral segment of esophagus
31596,nerve to right second lateral lumbar intertransversarius,nerve to second lateral lumbar intertransversarius
31597,root of right twelfth thoracic nerve,root of twelfth thoracic nerve
31598,driven equilibrium,MR preparation or modification technique
31599,anterior segment of upper lobe of right lung,lobular organ component
31600,partial cystectomy,bladder surgery
31601,peripheral segment of lumbar spinal nerve,peripheral segment of spinal nerve
31602,segment of vertebra,organ segment
31603,deep dorsal vein of left hand,deep dorsal vein of hand
31604,exposure error,image acquisition error
31605,with delayed imaging,imaging procedure descriptor
31606,non-solid pulmonary nodule,pulmonary nodule
31607,gastrocnemius muscle,superficial muscle of posterior compartment of leg
31608,set of extremity vessels,set of blood vessels
31609,common belly of sternocleidomastoid,belly of sternocleidomastoid
31610,set of rootlets of second nerve,set of rootlets of sacral nerve
31611,collateral branch of fourth intercostal nerve,collateral branch of intercostal nerve
31612,tendon proper of extensor digitorum longus,extensor digitorum longus tendon
31613,right uterotubal junction,uterotubal junction
31614,middle part of superior frontal gyrus,segment of superior frontal gyrus
31615,root of left eighth thoracic nerve,root of eighth thoracic nerve
31616,preganglionic segment of posterior root of right second cervical spinal nerve,preganglionic segment of posterior root of second cervical spinal nerve
31617,glomerular capsule,region of uriniferous tubule
31618,milk of calcium bile,calcification
31619,stylomandibular ligament of temporomandibular joint,ligament of temporomandibular joint
31620,fluoroscopy time,modality descriptor
31621,PI-RADS T2WI TZ Lesion Assessment Category,PI-RADS assessment
31622,posterior part of forearm,free upper limb segment
31623,automated bolus tracking,bolus triggering method
31624,habenular nucleus,nucleus of epithalamus
31625,systemic arterial trunk,arterial trunk
31626,retropharyngeal lymph node,deep cervical lymph node
31627,muscle of lateral compartment of leg,muscle of leg
31628,posterior lamina of mesentery of ileum,region of mesentery of small intestine
31629,axillary nerve nucleus of dorsal column,axillary nerve nucleus of spinal cord
31630,nerve to right eleventh external intercostal muscle,nerve to eleventh external intercostal muscle
31631,choroidal branch of left posterior inferior cerebellar artery to fourth ventricle,choroidal branch of PICA to fourth ventricle
31632,intrahepatic gas sign,imaging sign
31633,phase-subtract,modality descriptor
31634,RID7782,Obsolete Radlex Term
31635,tumor in portal vein,tumor in vein
31636,deltoid branch of left posterior circumflex humeral artery,deltoid branch of posterior circumflex humeral artery
31637,basal surface of right cerebral hemisphere,basal surface of cerebral hemisphere
31638,lymph node of abdomen,lymph node of trunk
31639,trunk of branch of masseteric nerve,trunk of branch of mandibular nerve
31640,left central oculomotor nucleus,central oculomotor nucleus
31641,thoracodorsal nerve component of trunk of posterior division of anterior ramus of left eighth cervical nerve,thoracodorsal nerve component of trunk of posterior division of anterior ramus of eighth cervical nerve
31642,adventitia of major calyx,adventitia of region of ureter
31643,medial pterygoid nerve,branch of mandibular nerve
31644,Salter-Harris type IV fracture,Salter-Harris fracture
31645,gray communicating ramus of subcostal nerve,gray communicating ramus of thoracic nerve
31646,Hashimoto thyroiditis,thyroiditis
31647,l4 anterior division of lumbar plexus,anterior division of lumbar plexus
31648,myxoma,neoplasm
31649,right glenohumeral joint branch of right anterior circumflex humeral artery,glenohumeral joint branch of anterior circumflex humeral artery
31650,surface of limbic lobe,surface of cerebral lobe
31651,medial medullary lamina of right globus pallidus,medial medullary lamina of globus pallidus
31652,t2 branch to right spinalis capitis,t2 branch to spinalis capitis
31653,lateral cutaneous branch of fourth intercostal nerve,lateral cutaneous branch of intercostal nerve
31654,segment of tapetum of corpus callosum,segment of corpus callosum
31655,anterior branch of medial femoral cutaneous nerve,branch of medial femoral cutaneous nerve
31656,second sacral ganglion,sacral ganglion
31657,Tc-99m oxidronate,radiopharmaceutical
31658,thoracodorsal nerve component of inferior trunk segment of eighth cervical nerve,segment of C8 root of thoracodorsal nerve
31659,meningeal branch of cavernous part of left internal carotid artery,dorsal meningeal artery
31660,lobar branch of left inferior segmental renal artery,lobar branch of inferior segmental renal artery
31661,branch to left great auricular nerve,branch to great auricular nerve
31662,anterior segment of right uncus,anterior segment of uncus
31663,pelvic part of greater sac,segment of greater sac
31664,distal zone of brachialis,distal zone of muscle organ
31665,prescalene space,subdivision of cervicothoracic-brachial compartment space
31666,brodmann area 34 of left parahippocampal gyrus,brodmann area 34 of parahippocampal gyrus
31667,segment of spinal nucleus of trigeminal nerve,nucleus of cranial nerve
31668,multiphase,phase descriptor
31669,peripheral segment of medial cutaneous nerve of arm,peripheral segment of peripheral nerve
31670,polypectomy,colon surgery
31671,retropancreatic fascia,loose endoabdominal fascia
31672,anterior ramus of left first cervical nerve,anterior ramus of first cervical nerve
31673,brodmann area 23 of posterior cingulate gyrus,segment of Brodmann area 23
31674,zone of gallbladder,organ zone
31675,brodmann area 13 of inferior frontal gyrus,segment of Brodmann area 13
31676,gray matter of left middle frontal gyrus,gray matter of middle frontal gyrus
31677,brodmann area 7 of right parietal lobe,brodmann area 7 of parietal lobe
31678,lumen of pancreatic ductule,lumen of pancreatic duct
31679,hyperacute,acute
31680,subdivision of perineum,subdivision of trunk proper
31681,left hippocampal formation,hippocampal formation
31682,epithelium of uterine tube,ciliated columnar epithelium
31683,Dias disease,osteonecrosis
31684,dromedary hump,imaging sign
31685,tendon of right abductor pollicis longus to base of right first metacarpal bone,tendon of abductor pollicis longus to base of first metacarpal bone
31686,nerve to left gemellus superior,nerve to gemellus superior
31687,musculocutaneous nerve component of superior trunk segment of fifth cervical nerve,segment of C5 root of musculocutaneous nerve
31688,ventral nucleus of medial geniculate body,nucleus of thalamus
31689,lamina of Brodmann area 48,lamina of Brodmann area
31690,anterior portion of superior aortic pericardial recess,portion of superior aortic pericardial recess
31691,parietal pelvic lymphatic vessel,lymphatic vessel of pelvis
31692,dose area product,radiation exposure measure
31693,RID7214,Obsolete Radlex Term
31694,muscle layer of isthmus of left uterine tube,muscle layer of isthmus of uterine tube
31695,head of left fifth rib,head of fifth rib
31696,anterior part of right middle temporal gyrus,anterior part of middle temporal gyrus
31697,multiform layer of left Brodmann area 52,multiform layer of Brodmann area 52
31698,rectus femoris branch of right femoral nerve,rectus femoris branch of femoral nerve
31699,peripheral segment of left axillary nerve,peripheral segment of axillary nerve
31700,external pyramidal layer of right Brodmann area 47,external pyramidal layer of Brodmann area 47
31701,pleomorphic,morphologic descriptor
31702,set of bone organs,set of organs
31703,right temporal pole,temporal pole
31704,right posterior pararenal fat,organ component of pararenal fat
31705,body cavity subdivision,space of compartment of trunk
31706,communicating branch of iliohypogastric nerve with ilioinguinal nerve,branch of iliohypogastric nerve
31707,cavum trigeminale,anatomical compartment space
31708,tendon of right extensor carpi ulnaris,extensor carpi ulnaris tendon
31709,radial nerve nucleus of right ventral column,radial nerve nucleus of ventral column
31710,lateral cord segment of C5 root of right musculocutaneous nerve,lateral cord segment of C5 root of musculocutaneous nerve
31711,gelatinous subnucleus of spinal nucleus of trigeminal nerve,subdivision of spinal nucleus of trigeminal nerve
31712,nerve to right quadratus femoris,nerve to quadratus femoris
31713,head of part of muscle organ,region of organ component
31714,external longitudinal muscle layer of uterine part of uterine tube,muscle layer of region of uterine tube
31715,pericardial branch of internal thoracic artery,branch of internal thoracic artery
31716,serosa of uterus,serosa of organ
31717,MR preparation or modification technique,MR procedure attribute
31718,tendon of right gluteus minimus,tendon of gluteus minimus
31719,right longissimus cervicis,longissimus cervicis
31720,sympathetic connection with sinuvertebral nerve,meningeal branch of spinal nerve
31721,right splenial artery,splenial artery
31722,paintbrush appearance,imaging sign
31723,cuneiform nucleus,nucleus of midbrain reticular formation
31724,neuronavigation,imaging procedure
31725,lateral semicircular canal,semicircular canal
31726,high density,density descriptor
31727,subdivision of surface of distal epiphysis of radius,subdivision of surface of epiphysis of radius
31728,c2 branch to left semispinalis cervicis,c2 branch to semispinalis cervicis
31729,interpolation,MR primary reconstruction step
31730,left posterior parietal artery,posterior parietal artery
31731,space of anterior compartment of thigh,space of compartment of lower limb
31732,primary fissure,subarachnoid fissure
31733,lateral part of posterior compartment of left forearm,lateral part of posterior compartment of forearm
31734,t11 segment of right posterior spinocerebellar tract,t11 segment of posterior spinocerebellar tract
31735,l5 root of nerve to right gemellus inferior,l5 root of nerve to gemellus inferior
31736,communicating branch of right recurrent laryngeal nerve with right internal laryngeal nerve,communicating branch of recurrent laryngeal nerve with internal laryngeal nerve
31737,skin of medial part of right thigh,skin of medial part of thigh
31738,RID12813,Obsolete Radlex Term
31739,lateral surface of long head of left triceps brachii,lateral surface of long head of triceps brachii
31740,RID13355,Obsolete Radlex Term
31741,trunk of branch of right hypoglossal nerve to right hyoglossus,trunk of branch of hypoglossal nerve to hyoglossus
31742,t6 branch to right iliocostalis thoracis,t6 branch to iliocostalis thoracis
31743,nerve to right flexor hallucis brevis,nerve to flexor hallucis brevis
31744,trunk of nerve to left longus colli,trunk of nerve to longus colli
31745,l1 segment of left nucleus proprius of spinal cord,l1 segment of nucleus proprius of spinal cord
31746,rootlet of fourth thoracic nerve,rootlet of thoracic nerve
31747,subparabrachial nucleus,nucleus of brain
31748,non-articular part of right patella,non-articular part of patella
31749,pelvic outlet,anatomical conduit
31750,medial part of medial mammillary nucleus,subdivision of medial mammillary nucleus
31751,lamina propria of stomach,lamina propria
31752,plexiform layer of right Brodmann area 14,plexiform layer of Brodmann area 14
31753,anterior choroidal artery,subdivision of cerebral part of internal carotid artery
31754,segment of trunk of anterior ramus of eighth cervical nerve,segment of trunk of anterior ramus of cervical nerve
31755,peduncle of diencephalon,peduncle of neuraxis
31756,RID13344,Obsolete Radlex Term
31757,infectious synovitis,synovitis
31758,left brachioradialis,brachioradialis muscle
31759,caudal part of nucleus of left spinal trigeminal nerve,caudal part of spinal trigeminal nucleus
31760,transverse branch of meningeal branch of left third thoracic nerve,transverse branch of meningeal branch of third thoracic nerve
31761,multiform layer of dentate gyrus,layer of dentate gyrus
31762,dura mater of anterior rootlet of left third cervical nerve,dura mater of anterior rootlet of third cervical nerve
31763,perianal fistula,fistula
31764,t11 segment of right nucleus proprius of spinal cord,t11 segment of nucleus proprius of spinal cord
31765,RID12500,Obsolete Radlex Term
31766,surface of cecum,surface of region of large intestine
31767,nerve to first interspinalis cervicis (1),nerve to interspinalis cervicis
31768,mesencephalic tract of left trigeminal nerve,mesencephalic tract of trigeminal nerve
31769,trunk of cutaneous branch of hypogastric branch of right iliohypogastric nerve,trunk of cutaneous branch of hypogastric branch of iliohypogastric nerve
31770,plexiform layer of Brodmann area 2,lamina of Brodmann area 2
31771,branch of deep branch of right ulnar nerve to right opponens pollicis,branch of deep branch of ulnar nerve to opponens pollicis
31772,digastric fossa of mandible,subdivision of surface of mandible
31773,internal granular layer of right Brodmann area 30,internal granular layer of Brodmann area 30
31774,subserosa,organ component layer
31775,left spinal accessory nerve,accessory nerve
31776,muscular branch of medial branch of posterior ramus of eleventh thoracic nerve,muscular branch of medial branch of posterior ramus of thoracic nerve
31777,trunk of left fourth sacral nerve,trunk of fourth sacral nerve
31778,left mesometrium,mesometrium
31779,thoracic segment of right cuneate fasciculus of spinal cord,thoracic segment of cuneate fasciculus of spinal cord
31780,rootlet of left seventh thoracic nerve,rootlet of seventh thoracic nerve
31781,Tc-99m disofenin,radiopharmaceutical
31782,RID33928,Obsolete Radlex Term
31783,t2 branch to left multifidus,t2 branch to multifidus
31784,superior segment of right lingual gyrus,superior segment of lingual gyrus
31785,zona fasciculata of adrenal gland,region of adrenal cortex
31786,Tis,T stage
31787,branch of sixth intercostal nerve to transversus thoracis,muscular branch of sixth intercostal nerve
31788,ptosis,malposition
31789,compartment of leg,compartment space
31790,right inferior palpebral arch,inferior palpebral arch
31791,cardiac region,body region
31792,distal region of left teres major,distal zone of teres major
31793,RID12587,RID12234
31794,lateral condyle of humerus,condyle of humerus
31795,cervical segment of dorsal gray column of spinal cord,segment of dorsal gray column of spinal cord
31796,posterior cranial fossa,subdivision of cavity of organ system subdivision
31797,proximal tendon of extensor hallucis longus,extensor hallucis longus tendon
31798,right plantaris,plantaris muscle
31799,region of lobe of transition zone of prostate,region of organ component
31800,mucosa of right ureter proper,mucosa of ureter proper
31801,lateral ligament of rectum,dense endopelvic fascia
31802,proximal circumflex artery,branch of circumflex coronary artery
31803,probably not,certainty descriptor
31804,palatine tonsil,tonsil
31805,right spinothalamic tract of pons,spinothalamic tract of pons
31806,mesothelium of peritoneum of posterior wall of greater sac,mesothelium of region of parietal peritoneum
31807,internal granular layer of left Brodmann area 2,internal granular layer of Brodmann area 2
31808,foregut,subdivision of gut
31809,inferior central retinal artery,branch of central retinal artery
31810,gallstone,calculus
31811,unchanged,status descriptor
31812,posterior branch of medial cutaneous nerve of left forearm,posterior branch of medial cutaneous nerve of forearm
31813,talonavicular joint,joint of ankle or foot
31814,RID6624,Obsolete Radlex Term
31815,postcaval lymphatic chain,abdominal lymphatic chain
31816,anterior meningeal branch of left anterior ethmoidal artery,anterior meningeal branch of anterior ethmoidal artery
31817,round calcification,typically benign calcification
31818,zonal layer of left superior colliculus,zonal layer of superior colliculus
31819,attachment to bronchus,attachment
31820,proximal superficial tendon of right tibialis posterior,proximal superficial tendon of tibialis posterior
31821,internal surface of descending colon,surface of descending colon
31822,articular branch of posterior ramus of left third thoracic nerve,articular branch of posterior ramus of third thoracic nerve
31823,trunk of deep transverse muscle branch of perineal nerve,trunk of muscular branch of perineal nerve
31824,outer membrane of prostatic capsule,connective tissue of prostate
31825,vestibular lamella,zone of osseous spiral lamina
31826,RID12274,Obsolete Radlex Term
31827,l1 segment of left posterior spinocerebellar tract,l1 segment of posterior spinocerebellar tract
31828,medulla of right tonsil of cerebellum,medulla of tonsil of cerebellum
31829,white communicating ramus of left second lumbar nerve,white communicating ramus of second lumbar nerve
31830,skin of posterior part of knee,subdivision of skin of free lower limb
31831,lunate surface of acetabulum,surface of subdivision of hip bone
31832,trunk of posterior ramus of sixth cervical nerve,trunk of branch of sixth cervical nerve
31833,trunk proper of anterior division of anterior ramus of right first thoracic nerve,trunk proper of anterior division of anterior ramus of first thoracic nerve
31834,nerve to left talcalcaneonavicular joint,nerve to talcalcaneonavicular joint
31835,parenchymatous organ,solid organ
31836,brodmann area 5 of postcentral gyrus,segment of Brodmann area 5
31837,subserosa of colon,subserosa of segment of large intestine
31838,belly of part of deltoid,region of part of muscle belly
31839,cleland ligament of left ring finger,cleland ligament of ring finger
31840,intermediate branch of hepatic artery,hepatic artery
31841,mesothelium of peritoneum,mesothelium
31842,Kandel view,named imaging view
31843,synovioma,synovial neoplasm
31844,fold of incus,fold of mucosa of middle ear
31845,nipple invasion,tumor invasion of adjacent structure
31846,median nerve component of of ventral root of right C6 nerve,median nerve component of of ventral root of C6 nerve
31847,arcuate line of ilium,anatomical line of bone
31848,proximal myotendinous region of long head of biceps femoris,proximal myotendinous region of head of biceps femoris
31849,t5 segment proper of esophagus,subdivision of vertebral segment of esophagus
31850,medial branch of anterior cutaneous branch of right eighth intercostal nerve,medial branch of anterior cutaneous branch of eighth intercostal nerve
31851,anterior root of eighth cervical nerve,anterior root of cervical nerve
31852,nerve to serratus anterior (2),nerve to serratus anterior
31853,chronic acalculous gallbladder disease,inflammation
31854,right superior frontal gyrus,superior frontal gyrus
31855,RID2783,Obsolete Radlex Term
31856,left inferior frontal gyrus,inferior frontal gyrus
31857,rootlet of fourth sacral nerve,rootlet of sacral nerve
31858,white matter of superior part of left precentral gyrus,white matter of superior part of precentral gyrus
31859,lateral root of optic tract,root of optic tract
31860,c2 branch to right rectus capitis anterior,c2 branch to rectus capitis anterior
31861,left seventh thoracic nerve,seventh thoracic nerve
31862,Kaposiform hemangioendothelioma,hemangioendothelioma
31863,real-time image reconstruction,MR primary reconstruction step
31864,dura mater of posterior rootlet of left fifth cervical nerve,dura mater of posterior rootlet of fifth cervical nerve
31865,neural network of thoracic wall,neural network of anatomical cluster
31866,region of interest calculation,calculation
31867,plexus branch of anterior branch of lateral femoral cutaneous nerve,branch of anterior branch of lateral femoral cutaneous nerve
31868,muscle body of extensor pollicis longus,muscle body of muscle of forearm
31869,anterior surface of left adrenal gland,anterior surface of adrenal gland
31870,benign epithelial polyp of colon,polyp
31871,nervous system of upper limb,nervous system of limb
31872,trunk of ganglionic branch of right lingual nerve to right submandibular ganglion,trunk of ganglionic branch of lingual nerve to submandibular ganglion
31873,white matter of T9 segment of spinal cord,white matter of subdivision of thoracic segment of spinal cord
31874,set of lingual transverse occipital fibers,set of neuraxis fibers
31875,lamina of Brodmann area 30,lamina of Brodmann area
31876,pharyngobasilar fascia,aponeurosis
31877,dura mater of posterior root of coccygeal nerve,dura mater of posterior root of spinal nerve
31878,medial branch of anterior cutaneous branch of subcostal nerve,branch of anterior cutaneous branch of intercostal nerve
31879,transverse branch of meningeal branch of right eighth cervical nerve,transverse branch of meningeal branch of eighth cervical nerve
31880,middle spinal column,subdivision of vertebral column
31881,distal epiphysis of middle phalanx of ring finger,distal epiphysis of phalanx of ring finger
31882,hybrid fixator,external fixator
31883,muscle body of left biceps brachii,muscle body of biceps brachii
31884,posterior root of left fourth thoracic nerve,posterior root of fourth thoracic nerve
31885,posterior branch of lateral cutaneous branch of tenth intercostal nerve,posterior branch of lateral cutaneous branch of intercostal nerve
31886,baseline,status descriptor
31887,anterior compartment of forearm,compartment of free upper limb
31888,cervix of uterus,neck of organ
31889,saccular recess,cavity of organ part
31890,long ciliary nerve to left dilatator pupillae,long ciliary nerve to dilatator pupillae
31891,skin of lateral part of right second toe,skin of lateral part of second toe
31892,zone of distal epiphysis of tibia,zone of tibia
31893,c4 branch to longissimus cervicis,muscular branch of lateral branch of posterior ramus of fourth cervical nerve
31894,tibial nerve,branch of sciatic nerve
31895,nerve to fourth levator costae,muscular branch of lateral branch of posterior ramus of fourth thoracic nerve
31896,both,quantity descriptor
31897,submandibular salivary duct,duct
31898,communicating branch of left nasociliary nerve with left ciliary ganglion,communicating branch with ciliary ganglion
31899,left flexor carpi ulnaris,flexor carpi ulnaris muscle
31900,Sendback,workflow term
31901,c8 part of anterior division of left brachial plexus,c8 part of anterior division of brachial plexus
31902,distal epiphysis of proximal phalanx of left middle finger,distal epiphysis of proximal phalanx of middle finger
31903,dura mater of posterior rootlet of first thoracic nerve,dura mater of posterior rootlet of thoracic nerve
31904,posterior root of first thoracic nerve,posterior root of thoracic nerve
31905,internal granular layer of Brodmann area 13,lamina of Brodmann area 13
31906,pisiform,bone in proximal carpal row
31907,t1 nucleus of right dorsal column for medial cutaneous nerve of right arm,t1 nucleus of dorsal column for medial cutaneous nerve of arm
31908,subcortical,head location descriptor
31909,zone of maxilla,zone of irregular bone
31910,articular cartilage of proximal epiphysis of tibia,articular cartilage of epiphysis of tibia
31911,mucosa of fundus of stomach,mucosa of zone of stomach
31912,caudal part of ventral lateral nucleus,subdivision of ventral lateral nucleus
31913,incisive foramina,set of anatomical spaces
31914,grayson ligament of middle finger,grayson ligament
31915,neurovascular bundle of right interscalene triangle,neurovascular bundle of interscalene triangle
31916,fourth metacarpal bone,metacarpal bone
31917,organ with organ cavity,cavitated organ
31918,cheek,subdivision of face
31919,brodmann area 40 of left superior parietal lobule,brodmann area 40 of superior parietal lobule
31920,first sacral spinal ganglion,sacral spinal ganglion
31921,tendon of left piriformis,tendon of piriformis
31922,apicoposterior segmental bronchus,segmental bronchus
31923,communicating branch of right sixth intercostal nerve,communicating branch of sixth intercostal nerve
31924,trunk of intermediate dorsal cutaneous nerve,trunk of branch of superficial fibular nerve
31925,middle part of precentral gyrus,segment of precentral gyrus
31926,pinhole collimator,collimator
31927,multiform layer of Brodmann area 35,lamina of Brodmann area 35
31928,neural network of elbow,neural network of region of upper limb
31929,emphysematous,morphologic descriptor
31930,second dorsal digital branch of right ulnar nerve,second dorsal digital branch of ulnar nerve
31931,lateral plica,plica of knee joint
31932,ligament of left hand,ligament of hand
31933,region of pia mater,region of leptomeningeal sac
31934,middle trunk segment of lateral root of left median nerve,middle trunk segment of lateral root of median nerve
31935,internal pyramidal layer of left Brodmann area 40,internal pyramidal layer of Brodmann area 40
31936,posterior segmental hepatic artery,subdivision of right lobe branch of right hepatic artery
31937,c8 nucleus of dorsal column for medial cutaneous nerve of forearm,segment of right medial antebrachial cutaneous nerve nucleus of spinal cord
31938,intra-pouch contrast,anatomical contrast
31939,nerve to left second medial lumbar intertransversarius,nerve to second medial lumbar intertransversarius
31940,distal region of muscle body of biceps brachii,distal region of muscle body
31941,intestinal lymphatic trunk,trunk of lymphatic tree organ part
31942,nerve to left eleventh thoracic intertransversarius,nerve to eleventh thoracic intertransversarius
31943,internal nasal branch of left infraorbital nerve,internal nasal branch of infraorbital nerve
31944,ascending thin limb,region of renal tubule
31945,sling,external device
31946,dorsal branch of medial proper palmar digital branch of median nerve to index finger,dorsal branch of proper palmar digital branch of median nerve to index finger
31947,deep palmar branch of ulnar artery,branch of ulnar artery
31948,articular surface of glenohumeral joint,articular surface
31949,external granular layer of right Brodmann area 35,external granular layer of Brodmann area 35
31950,teardrop sign of orbits,imaging sign
31951,buccinator lymph node,facial lymph node
31952,chondroma,cartilage-forming neoplasm
31953,c6 segment of superior division of lateral root of median nerve,segment of lateral root of median nerve
31954,esophageal part of left gastric artery,subdivision of left gastric artery
31955,parietal lobe proper,segment of parietal lobe
31956,parametrium of body of uterus,zone of pelvic fascia
31957,vasculature of white matter of C6 segment,vasculature of white matter of cervical segment of spinal cord
31958,T3 vertebral body,thoracic vertebral body
31959,tube exchange,device exchange
31960,right bending maneuver,bending maneuver
31961,gray matter of orbital gyrus,gray matter of gyrus of frontal lobe
