id,parentId
vagal branch to right tympanic membrane,vagal branch to tympanic membrane
head of fourth palmar interosseous of left hand,head of fourth palmar interosseous of hand
branch of posterior ramus of sixth cervical nerve,branch of posterior ramus of cervical nerve
obex,region of wall of fourth ventricle
t1 root of right median nerve,t1 root of median nerve
medial dorsal digital nerve of right second toe,medial dorsal digital nerve of second toe
intraventricular part of head of hippocampus,segment of hippocampus
subdivision of posterior tibial artery,subdivision of external iliac artery
proximal metaphysis of distal phalanx of right index finger,proximal metaphysis of distal phalanx of index finger
root of left subclavian nerve,root of subclavian nerve
medial surface of left ovary,medial surface of ovary
muscle layer of superior major calyx,muscle layer of subdivision of major calyx
low signal intensity,signal characteristic
distal metaphysis of distal phalanx of left middle finger,distal metaphysis of distal phalanx of middle finger
medial head of flexor hallucis brevis,head of flexor hallucis brevis
moderate central spinal stenosis,central spinal stenosis
lateral aortic lymphatic chain,lymphatic chain
right iliac fascia,iliac fascia
t4 segment of right anterior corticospinal tract,t4 segment of anterior corticospinal tract
neuroglial network of subsegment of spinal cord,neuroglial network
phytobezoar,bezoar
branch of median nerve to third lumbrical of left hand,branch of median nerve to third lumbrical of hand
trunk of labial branch of right mental nerve,trunk of labial branch of mental nerve
right common pulmonary vein,pulmonary vein
lateral part of right knee,lateral part of knee
branch of occipital artery,subdivision of external carotid artery
trunk of left suprascapular nerve,trunk of suprascapular nerve
lobule,lobular organ component
trunk of branch of temporal branch of facial nerve to frontalis,trunk of branch of temporal branch of facial nerve
cadmium,chemical element
lower lobe of left lung,lower lobe of lung
ventral hernia,abdominal wall hernia
neuroglial network of midbrain,neuroglial network of segment of brain
trunk of left utriculo-ampullary nerve,trunk of utriculo-ampullary nerve
belly of fourth dorsal interosseous of right foot,belly of fourth dorsal interosseus of foot
parasubiculum,segment of gyrus of limbic lobe
distal tendon of right vastus lateralis,distal tendon of vastus lateralis
proximal metaphysis of right humerus,proximal metaphysis of humerus
orchiectomy,testis vas deferens or seminal vesicle surgery
dura mater of posterior rootlet of left third lumbar nerve,dura mater of posterior rootlet of third lumbar nerve
muscle body of gracilis,skeletal muscle body
training,process
nerve to external anal sphincter,branch of sacral nerve plexus
l4 root of femoral nerve,segment of root of femoral nerve
multiform layer of right Brodmann area 38,multiform layer of Brodmann area 38
distal zone of vastus intermedius,zone of vastus intermedius
homogeneous mass enhancement,mass enhancement pattern
swimmers view,imaging view
internal nasal branch of left anterior ethmoidal nerve,internal nasal branch of anterior ethmoidal nerve
frontopontine tract,tract of brain
first trimester,pregnancy stage
trunk of eighth thoracic nerve,trunk of thoracic nerve
first posterior cervical intertransversarius,posterior cervical intertransversarius
brodmann area 18 of lateral occipital gyrus,segment of Brodmann area 18
multiform layer of Brodmann area 11,lamina of Brodmann area 11
proximal tendon of vastus medialis,tendon of vastus medialis
left testicular artery,testicular artery
left coraco-acromial ligament,coracoacromial ligament
right transverse intermeniscal ligament,transverse intermeniscal ligament
posterior gastric artery,subdivision of splenic artery
myometrium,organ component layer
distal tendon of right semimembranosus,distal tendon of semimembranosus
accessory oculomotor nucleus,nucleus of midbrain tegmentum
l2 root of left lateral femoral cutaneous nerve,l2 root of lateral femoral cutaneous nerve
muscle body of left bulbospongiosus,muscle body of bulbospongiosus
anatomical line of spleen,bona fide anatomical line
skin of plantar part of right third toe,skin of plantar part of third toe
portion of connective tissue,portion of tissue
Lung-RADS 4B,Lung-RADS assessment
RID436,Obsolete Radlex Term
meningeal branch of left sixth thoracic nerve,meningeal branch of sixth thoracic nerve
proximal tendon of spinal part of left deltoid,proximal tendon of spinal part of deltoid
trunk of right fourth thoracic nerve,trunk of fourth thoracic nerve
anterior root of right eighth thoracic nerve,anterior root of eighth thoracic nerve
glabella,zone of frontal bone
knee,free lower limb region
anterior cingulate gyrus,segment of cingulate gyrus
hyaline cartilage of superior articular process,hyaline cartilage
anterior zone of base of left patella,anterior zone of base of patella
ventral reticular nucleus,nucleus of medulla oblongata
left lateral sural cutaneous nerve,lateral sural cutaneous nerve
subdivision of femoral vein,subdivision of external iliac vein
supinator muscle,deep muscle of dorsal forearm
temporary,temporal descriptor
external pyramidal layer of left Brodmann area 15,external pyramidal layer of Brodmann area 15
t5 branch to spinalis capitis,muscular branch of medial branch of posterior ramus of fifth thoracic nerve
lamina of Brodmann area 8,lamina of Brodmann area
belly of clavicular head of sternocleidomastoid,muscle belly
embryonal carcinoma,non-seminomatous germ cell tumor
iso- to slightly hyperdense,density descriptor
transverse ridge of tooth,anatomical line of tooth
stage of healing descriptor,Radlex descriptor
dysgenesis of cerebellum,cerebellar disorder
muscle body of left extensor carpi radialis brevis,muscle body of extensor carpi radialis brevis
pre-subgenual frontal cortex,region of cortex of frontal lobe
diaphragmatic peritoneum,region of parietal peritoneum
l1 branch to left spinalis thoracis,l1 branch to spinalis thoracis
zone of ramus of mandible,zone of mandible
sulcal segment of right middle frontal gyrus,sulcal segment of middle frontal gyrus
gastric lymphatic chain,abdominal lymphatic chain
t5 branch to right semispinalis cervicis,t5 branch to semispinalis cervicis
spinal anesthesia,anesthesia
nervous system of subdivision of right free upper limb,nervous system of subdivision of free upper limb
solid pulmonary nodule,pulmonary nodule
common belly of right biceps brachii,common belly of biceps brachii
meningeal branch of right tenth thoracic nerve,meningeal branch of tenth thoracic nerve
pyramidal layer of subiculum,layer of subiculum
abdominal parietal peritoneum,region of parietal peritoneum
cortex of temporal lobe,cortex of lobe of cerebral hemisphere
area of origin of left lateral patellofemoral ligament,area of origin of lateral patellofemoral ligament
dura mater of anterior rootlet of left eighth cervical nerve,dura mater of anterior rootlet of eighth cervical nerve
RID12421,RID12307
ReportTurnAroundTime,report index
Apert syndrome,imaging sign
mucosa of left uterine tube proper,mucosa of uterine tube proper
muscle body of pronator quadratus,muscle body of muscle of forearm
inflation pressure,balloon dilatation attribute
trunk of communicating branch of internal laryngeal nerve with recurrent laryngeal nerve,trunk of lower branch of internal laryngeal nerve
proximal metaphysis of metacarpal bone,proximal metaphysis
zone of vastus lateralis,zone of muscle organ of lower limb
lemniscus of neuraxis,segment of white matter of neuraxis
set of left levatores costarum longi,set of levatores costarum longi
adventitia of organ region,adventitia
marginal zone of lumbar segment of right dorsal gray column of spinal cord,marginal zone of lumbar segment of dorsal gray column of spinal cord
diaphysis of distal phalanx of left little finger,diaphysis of distal phalanx of little finger
nutrient artery of radius,branch of radial artery
left suprascapular artery,suprascapular artery
muscle layer of superior minor calyx,muscle layer of subdivision of minor calyx
secondary visual cortex,region of cerebral cortex
subthalamic nucleus,nucleus of subthalamus
lung mass,chest mass
elliptical filter,radial filter
tendon of left inferior rectus,tendon of inferior rectus
gray matter of neuraxis,cell part cluster of neuraxis
surface of C7 segment,surface of cervical segment of spinal cord
clavicular head of right sternocleidomastoid,clavicular head of sternocleidomastoid muscle
musculature of subdivision of trunk,musculature
mesentericoparietal recess,duodenal recess
white matter of right biventer lobule,white matter of biventer lobule
laparoscopic,treatment technique
interarticular sacrococcygeal ligament,ligament of sacrococcygeal joint
submucosa of neck of urinary bladder,submucosa of zone of urinary bladder
imaging with contrast,imaging procedure
metaphysis of left ulna,metaphysis of ulna
adventitia of left anterior intermediate minor calyx,adventitia of anterior intermediate minor calyx
central venous catheter,catheter
dorsal carpal branch of radial artery,branch of radial artery
trapped air sign,imaging sign
dorsal interossei muscle of hand,interosseous muscle of hand
area of origin of left infraspinatus,area of origin of infraspinatus
medial antebrachial cutaneous nerve component of inferior trunk segment of right first thoracic nerve,medial antebrachial cutaneous nerve component of inferior trunk segment of first thoracic nerve
shells k-space trajectory,non-Cartesian k-space trajectory
peak flow,flow
left extraperitoneal compartment,extraperitoneal compartment
tendon of bulbospongiosus,tendon
left posterior auricular nerve,posterior auricular nerve
tendon of right inferior oblique,tendon of inferior oblique
gray matter of accessory short gyrus,gray matter of gyrus of insula
diffusion weighted,MR tissue contrast attribute
lateral cutaneous branch of ventral branch of right second lumbar artery,lateral cutaneous branch of ventral branch of second lumbar artery
communicating branch of zygomatic branch of facial nerve with lacrimal nerve,branch of zygomatic branch of facial nerve
long thoracic nerve component of trunk of seventh cervical nerve,segment of C7 root of long thoracic nerve
posterior ramus of right third thoracic nerve,posterior ramus of third thoracic nerve
distal segment of C5 root of right lateral pectoral nerve,distal segment of C5 root of lateral pectoral nerve
neural network of upper lobe of left lung,neural network of upper lobe of lung
intervertebral tributary of right second lumbar vein,intervertebral tributary of second lumbar vein
white matter of right medial frontal lobe,white matter of medial frontal lobe
left trigeminal nerve tract,trigeminal nerve tract
posterior radicular branch of spinal branch of right lumbar artery,posterior radicular branch of spinal branch of lumbar artery
endovascular transducer,endocavitary transducer
descending branch of right superficial cervical artery,descending branch of superficial cervical artery
branch to common carotid plexus,branch of superior cervical ganglion
RID13441,Obsolete Radlex Term
RID19685,Obsolete Radlex Term
nerve to auricularis posterior,branch of auricular branch of posterior auricular nerve
t3 segment of left substantia gelatinosa,t3 segment of substantia gelatinosa
anterior radicular branch of spinal branch of right fourth lumbar artery,anterior radicular branch of spinal branch of fourth lumbar artery
nucleus of origin of eighth thoracic spinal nerve,nucleus of origin of thoracic spinal nerve
surface of glenoid proper of left scapula,surface of glenoid proper of scapula
laryngopharyngeal branch of right superior cervical ganglion,laryngopharyngeal branch of superior cervical ganglion
tendon of left extensor digitorum longus,extensor digitorum longus tendon
floor of orbit,region of wall of orbit
medial cord segment of right median nerve,medial cord segment of median nerve
right gracile fasciculus of spinal cord,fasciculus gracilis of spinal cord
glossopharyngeal nerve tract,central zone of nerve
left radial tuberosity,radial tuberosity
pneumonia,respiratory disorder
muscle layer of cecum,muscle layer of region of large intestine
lateral branch of posterior ramus of left third sacral nerve,lateral branch of posterior ramus of third sacral nerve
nerve to levator labii superioris,branch of upper deep buccal branch of facial nerve
cardiac acquisition,MR acquisition
nerve to left fibularis brevis,nerve to fibularis brevis
chondrosarcoma,cartilage-forming neoplasm
visceral branch of anterior ramus of left fourth sacral nerve,visceral branch of anterior ramus of fourth sacral nerve
accessory cuneate nucleus,nucleus of medulla oblongata
endometrium of body of uterus,endometrium of zone of uterus
t5 segment of right lateral corticospinal tract,t5 segment of lateral corticospinal tract
medial cervical nucleus,nucleus of spinal cord
zygomaticofacial branch of zygomatic nerve,branch of zygomatic nerve
peripheral segment of left dorsal scapular nerve,peripheral segment of dorsal scapular nerve
anterior lamina of mesentery of ileum,region of mesentery of small intestine
lateral proper plantar digital nerve of left second toe,lateral proper plantar digital nerve of second toe
surface of anterior lobe of prostate,region of surface of prostate
trunk of branch of recurrent laryngeal nerve to mucosa of larynx,trunk of branch of recurrent laryngeal nerve
proximal metaphysis of distal phalanx of left ring finger,proximal metaphysis of distal phalanx of ring finger
saccular duct,subdivision of vestibular labyrinth
c2 segment of right substantia gelatinosa,c2 segment of substantia gelatinosa
femoral canal,compartment of free lower limb
gray matter of brainstem,gray matter of neuraxis
extensive,status descriptor
shoulder pad sign,imaging sign
lumen of region of prostatic urethra,cavity of organ part
tributary of central retinal vein,tributary of superior ophthalmic vein
submucosa of descending part of duodenum,submucosa of zone of duodenum
left insular vein,insular vein
diaphysis proper of fifth metatarsal bone,diaphysis proper of metatarsal bone
data-acquisition period,axial CT procedure attribute
right coracoid process,coracoid process
oral part of ventral posterolateral nucleus,subdivision of ventral posterolateral nucleus
ligament of proximal interphalangeal joint of finger,ligament of hand
middle part of peripheral zone of prostate,region of peripheral zone of prostate
right anterior ciliary vein,anterior ciliary vein
hardware image fusion,image fusion
medial proper digital nerve of right big toe,medial proper digital nerve of big toe
sulcal segment of left postcentral gyrus,sulcal segment of postcentral gyrus
intermediate lumbar lymph node group,parietal lymph node group of abdomen proper
visceral part of sympathetic nervous system,subdivision of sympathetic nervous system
set of mesocolic lymphatic vessels,set of abdominal lymphatic vessels
t2 branch to left splenius capitis,t2 branch to splenius capitis
frontal tributary of right superficial temporal vein,frontal tributary of superficial temporal vein
distal tendon of right teres minor,distal tendon of teres minor
peritoneal surface of right kidney,peritoneal surface of kidney
muscular branch of lateral branch of posterior ramus of ninth thoracic nerve,muscular branch of lateral branch of posterior ramus of thoracic nerve
muscular branch of ventral branch of left second lumbar artery,muscular branch of ventral branch of second lumbar artery
lateral segment of lingual gyrus,segment of lingual gyrus
diaphragm,muscle of thorax
branch to right great auricular nerve,branch to great auricular nerve
c7 ventral column nucleus of right musculocutaneous nerve,c7 ventral column nucleus of musculocutaneous nerve
left cingulate gyrus,cingulate gyrus
laryngography,imaging procedure
trunk of left mental nerve,trunk of mental nerve
Anterior part of right side of basal part of peripheral zone of prostate,Subdivision of basal part of peripheral zone of prostate
nail bed proper of left big toe,nail bed proper of big toe
suprascapular nerve component of trunk of sixth cervical nerve,segment of C6 root of suprascapular nerve
cutaneous branch of anterior branch of axillary nerve,branch of anterior branch of axillary nerve
first palmar interosseous of left hand,first palmar interosseous of hand
left internal oblique,internal oblique
penduncular tributary of left basal vein,penduncular tributary of basal vein
visceral branch of anterior ramus of right second sacral nerve,visceral branch of anterior ramus of second sacral nerve
cutaneous branch of suprasternal branch of right suprascapular artery,cutaneous branch of suprasternal branch of suprascapular artery
skewed nasal septum sign,imaging sign
distal metaphysis of right fourth metatarsal bone,distal metaphysis of fourth metatarsal bone
connective tissue of mesentery of small intestine,connective tissue of region of visceral peritoneum
inferior part proper of body of right scapula,inferior part proper of body of scapula
central segment of right lateral femoral cutaneous nerve,central segment of lateral femoral cutaneous nerve
indium,chemical element
central segment of first lumbar spinal nerve,central segment of lumbar spinal nerve
caudate process tributary of right hepatic biliary tree,segmental tributary of right hepatic biliary tree
pupillary margin of iris,anatomical line of eyeball
c6 segment of left posterior spinocerebellar tract,c6 segment of posterior spinocerebellar tract
inferior surface of right teres minor,inferior surface of teres minor
trunk of auricular branch of vagus nerve,trunk of branch of vagus nerve
upper outer quadrant of right female breast,upper outer quadrant of breast
overtubulation,bone disorder
right principal pretectal nucleus,principal pretectal nucleus
nucleus of lens,region of lens fiber mass
device-related complication,complication
isoenhancing,enhancement pattern
anatomical line of ovary,bona fide anatomical line
hepatovenous segment IV,region of anterior sector of left liver
PtAccept,workflow term
long thoracic nerve component of trunk of fifth cervical nerve,segment of C5 root of long thoracic nerve
first dorsal interosseous of hand,dorsal interosseous of hand
medial branch of posterior ramus of fourth thoracic nerve,medial branch of posterior ramus of thoracic nerve
c5 ventral column nucleus of axillary nerve,segment of axillary nerve nucleus of ventral column
gut-associated lymphoid tissue,organized mucosa-associated lymphoid tissue
central segment of subscapular nerve,central segment of peripheral nerve
pituitary gland,lobular organ
axilla,limb region
t9 segment of lateral corticospinal tract,thoracic subsegment of lateral corticospinal tract
c3 segment of posterior spinocerebellar tract,cervical subsegment of posterior spinocerebellar tract
neural network of right first metatarsal bone,neural network of first metatarsal bone
cartilaginous part of eustachian tube,subdivision of eustachian tube
roentgenium,chemical element
first common palmar digital nerve,common palmar digital branch of median nerve
nerve to right abductor pollicis brevis,nerve to abductor pollicis brevis
region of surface of teres minor,region of surface of muscle organ
superior terminal branch of right middle cerebral artery,superior terminal branch of middle cerebral artery
trunk of esophageal branch of anterior vagal trunk,trunk of esophageal branch of vagal trunk
dorsomedial nucleus of pons,nucleus of basal part of pons
perisplenic space,subdivision of supracolic space
nucleus of origin of first thoracic spinal nerve,nucleus of origin of thoracic spinal nerve
puncture site complication,complication
medial cutaneous branch of medial branch of posterior ramus of thoracic nerve,cutaneous branch of medial branch of posterior ramus of thoracic nerve
set of gastric glands,set of glands
vasculature of C7 segment of spinal cord,vasculature of cervical subsegment of spinal cord
marginal zone of cervical segment of dorsal gray column of spinal cord,segment of marginal zone of dorsal gray column of spinal cord
muscle layer of left posterior intermediate minor calyx,muscle layer of posterior intermediate minor calyx
submucosa of proximal part of ileum,submucosa of region of ileum
parenchyma of posterior lobe of prostate,parenchyma of lobe of prostate
medial head of left triceps brachii,medial head of triceps brachii muscle
striatum,striatum of neuraxis
gray matter of right posterior transverse temporal gyrus,gray matter of posterior transverse temporal gyrus
zone of ulnar collateral ligament of elbow,organ zone
common belly of right digastric,common belly of digastric
volume rendering method,image processing attribute
aditus ad antrum,orifice of skull
right fourth interspinalis cervicis,fourth interspinalis cervicis
RID13270,RID13262
ascending branch of meningeal branch of left second thoracic nerve,ascending branch of meningeal branch of second thoracic nerve
second dorsal digital nerve,dorsal digital nerve of foot
set of rootlets of tenth thoracic nerve,set of rootlets of thoracic nerve
internal granular layer of right Brodmann area 42,internal granular layer of Brodmann area 42
subdivision of cavity of lateral ventricle,subdivision of cavity of neuraxis
metaphysis of left second metatarsal bone,metaphysis of second metatarsal bone
t6 segment of right lateral gray column of spinal cord,t6 segment of lateral gray column of spinal cord
apical segmental bronchus,segmental bronchus
right transverse process of seventh cervical vertebra,transverse process of seventh cervical vertebra
greater saphenous vein,tributary of femoral vein
anterior rootlet of second sacral nerve,anterior rootlet of sacral nerve
medial reticulospinal tract,tract of spinal cord
white matter of posterior long insular gyrus,white matter of long insular gyrus
parauterine lymph node,visceral lymph node of pelvis
RID12947,Obsolete Radlex Term
superficial layer of proximal nail fold of toe,subdivision of proximal nail fold of toe
trunk of pre-brachial plexus segment of C8 component of right median nerve,trunk of pre-brachial plexus segment of C8 component of median nerve
posterior division of anterior ramus of fifth cervical nerve,branch of anterior ramus of fifth cervical nerve
lateral intercondylar eminence of tibia,tibial intercondylar eminence
peripheral segment of fifth sacral spinal nerve,peripheral segment of sacral spinal nerve
left transverse process of third cervical vertebra,transverse process of third cervical vertebra
anterior rootlet of right third lumbar nerve,anterior rootlet of third lumbar nerve
apophysitis,inflammation
injury due to missile,penetrating injury
seventh intercostal nerve,intercostal nerve
brodmann area 27 of right parahippocampal gyrus,brodmann area 27 of parahippocampal gyrus
zone of adenohypophysis,organ zone
trunk of muscular branch of left recurrent laryngeal nerve,trunk of muscular branch of recurrent laryngeal nerve
gray matter of left side of uvula of vermis of cerebellum,gray matter of segment of cerebellum
metaphysis of right fourth metacarpal bone,metaphysis of fourth metacarpal bone
flared mandible sign,imaging sign
t2 segment of left lateral gray column of spinal cord,t2 segment of lateral gray column of spinal cord
arbitrary subdivision of visceral pleura,region of visceral pleura
anterior wall of urinary bladder,region of wall of urinary bladder
tendon,organ component
infra-orbital canal,cranial conduit space
intermediate jejunal lymph node,intermediate mesenteric lymph node
nerve to right uvular muscle,nerve to uvular muscle
set of female pelvic viscera,set of viscera of pelvis
wall of ventricular system of neuraxis,organ component of neuraxis
plexiform layer of right Brodmann area 26,plexiform layer of Brodmann area 26
peripheral segment of right first sacral spinal nerve,peripheral segment of first sacral spinal nerve
pseudo-washout appearance,hypointense
end-to-side anastomosis,anastomosis
radial nerve component of trunk of posterior division of anterior ramus of right fifth cervical nerve,radial nerve component of trunk of posterior division of anterior ramus of fifth cervical nerve
brodmann area 5 of right precuneus,brodmann area 5 of precuneus
proximal epiphysis of left fibula,head of fibula
tetralogy of Fallot,heart disease
segment of Brodmann area 38,segment of Brodmann area
articular cartilage of proximal medial cuboid,articular cartilage
psoas hitch,bladder surgery
belly of flexor hallucis brevis,muscle belly
superficial layer of proximal nail fold of right fourth toe,superficial layer of proximal nail fold of fourth toe
shoulder extension,patient position
middle abdomen,subdivision of abdomen
descending branch of meningeal branch of left thoracic nerve,descending branch of meningeal branch of thoracic nerve
greater curvature of stomach,zone of stomach
lateral pectoral nerve branch of anterior division of anterior ramus of right fifth cervical nerve,lateral pectoral nerve branch of anterior division of anterior ramus of fifth cervical nerve
proximal epiphysis of proximal phalanx of left little finger,proximal epiphysis of proximal phalanx of little finger
preganglionic segment of posterior root of right seventh thoracic spinal nerve,preganglionic segment of posterior root of seventh thoracic spinal nerve
left adductor pollicis,adductor pollicis muscle
multiform layer of left parietal lobe,multiform layer of parietal lobe
articular cartilage of proximal epiphysis of right femur,articular cartilage of proximal epiphysis of femur
respiratory conduit,anatomical conduit
male urethra,urethra
trunk of pharyngeal branch of right vagus nerve to pharyngeal nerve plexus,trunk of pharyngeal branch of vagus nerve to pharyngeal nerve plexus
ChangedProtocol,workflow term
rectus femoris muscle,muscle of anterior compartment of thigh
plantar nail matrix of right third toe,plantar nail matrix of third toe
nerve to right depressor anguli oris,nerve to depressor anguli oris
right substantia gelatinosa,substantia gelatinosa
lesion margin,lesion characteristic
trunk of muscular branch of left obturator nerve,trunk of muscular branch of obturator nerve
pharyngeal hypophysis,subdivision of pharynx
peripheral segment of ilioinguinal nerve,peripheral segment of peripheral nerve
segment of Brodmann area 49,segment of Brodmann area
vascular circle of optic nerve,branch of ophthalmic artery
preganglionic segment of posterior root of left third thoracic spinal nerve,preganglionic segment of posterior root of third thoracic spinal nerve
zone of middle constrictor muscle,zone of muscle organ
semimembranous bursa,segment of synovial capsule of knee joint
brodmann area 19 of limbic lobe,segment of Brodmann area 19
external pyramidal layer of parietal lobe,lamina of cortex of parietal lobe
mastoid air cell,cavity of organ part
anatomical line of neuraxis,bona fide anatomical line
vestibulo-auditory system,heterogeneous anatomical cluster
frontal branch of superficial temporal artery,branch of superficial temporal artery
left female breast,female breast
common palmar digital branch of ulnar nerve to little finger,branch of superficial branch of ulnar nerve
carotid space,space of neck
ascending branch of meningeal branch of right sixth thoracic nerve,ascending branch of meningeal branch of sixth thoracic nerve
carcinoma ex pleomorphic adenoma,stromal neoplasm or complex mixed neoplasm
adductor magnus branch of right tibial nerve,adductor magnus branch of tibial nerve
t2 branch to iliocostalis cervicis,muscular branch of lateral branch of posterior ramus of second thoracic nerve
set of distal superior mesenteric lymphatic vessels,set of abdominal lymphatic vessels
nerve to gastrocnemius,muscular branch of tibial nerve
trunk of articular branch of posterior branch of obturator nerve,trunk of posterior branch of obturator nerve
heterogenously echogenic,echogenicity characteristic
isotropic voxels,voxel geometry
c3 segment of ventral gray column of spinal cord,cervical subsegment of ventral gray column of spinal cord
posterior rootlet of left eleventh thoracic nerve,posterior rootlet of eleventh thoracic nerve
sulcal segment of right inferior temporal gyrus,sulcal segment of inferior temporal gyrus
plexiform layer of left Brodmann area 20,plexiform layer of Brodmann area 20
muscle of volar forearm,muscle of forearm
insecticide poisoning,poisoning
left posterior spinocerebellar tract,posterior spinocerebellar tract
neural tissue of vagus nerve,neural tissue of cranial nerve
right otic ganglion,otic ganglion
CSF in right side of third ventricle,portion of cerebrospinal fluid
right lateral posterior superior nasal nerve,lateral posterior superior nasal nerve
LR-4,LI-RADS assessment
RID6517,Obsolete Radlex Term
RID35290,Obsolete Radlex Term
PI-RADS 3 - T2WI PZ Intermediate,PI-RADS T2WI PZ Lesion Assessment Category
interlobular branch of anterior superior segmental renal artery,interlobular artery of kidney
superior anterior division of left brachial plexus,superior anterior division of brachial plexus
juxta-jejunal lymph node group,mesenteric lymph node group
dorsal pancreatic artery,pancreatic artery
plica semilunaris of conjunctiva,region of conjunctiva
dorsal branch of fourth lumbar artery,dorsal branch of lumbar artery
brodmann area 37 of occipital segment of fusiform gyrus,segment of Brodmann area 37
ulnar collateral ligament tear,tear
splenic lymph node group,visceral lymph node group of abdomen proper
transdermal,anatomically-related descriptor
lymphoid hyperplasia,hyperplasia
cephalocaudad,scanning direction
peripheral bubble sign,imaging sign
belly of third dorsal interosseous of hand,belly of dorsal interosseous of hand
c7 root of left long thoracic nerve,c7 root of long thoracic nerve
brodmann area 37 of right middle temporal gyrus,brodmann area 37 of middle temporal gyrus
posterior root of left seventh cervical nerve,posterior root of seventh cervical nerve
brodmann area 18 of left posterior cingulate gyrus,brodmann area 18 of posterior cingulate gyrus
white matter of inferior parietal lobule,white matter of gyrus of parietal lobe
adrenal region,body region
hypogastric branch of left iliohypogastric nerve,anterior cutaneous branch of iliohypogastric nerve
organ with cavitated organ parts,cavitated organ
brodmann area 24 of right anterior cingulate gyrus,brodmann area 24 of anterior cingulate gyrus
trochlea of humerus,zone of distal epiphysis of humerus
peripheral segment of twelfth thoracic spinal nerve,peripheral segment of thoracic spinal nerve
medial root trunk proper segment of T1 root of left median nerve,medial root trunk proper segment of T1 root of median nerve
right labium minus,labium minorum
tendon of right flexor carpi ulnaris,tendon of flexor carpi ulnaris
least thoracic splanchnic nerve,thoracic splanchnic nerve
internal granular layer of Brodmann area 49,lamina of brodmann area 49
mental foramen,cranial conduit space
neural network of right pelvic girdle,neural network of pelvic girdle
<20mm,size descriptor
branch of pharyngeal nerve plexus to inferior pharyngeal constrictor,branch of pharyngeal nerve plexus
medial branch of dorsal branch of third lumbar artery,medial branch of dorsal branch of lumbar artery
set of inferior branches of transverse cervical nerve,set of nerves
fifth toe,toe
radial nerve component of inferior trunk segment of left eighth cervical nerve,radial nerve component of inferior trunk segment of eighth cervical nerve
Schwannomatosis,neurofibromatosis
tendon of left subclavius,tendon of subclavius
FinalPublish,workflow term
RID28466,Obsolete Radlex Term
brodmann area 19 of right precuneus,brodmann area 19 of precuneus
adrenal vein,subdivision of inferior vena caval tree
root of second lumbar nerve,root of lumbar spinal nerve
nerve to fifth lateral lumbar intertransversarius,nerve to lateral lumbar intertransversarius
prepatellar bursa,bursa of knee
tendon of flexor digitorum superficialis to middle finger,tendon of flexor digitorum superficialis
S5,sacral spine descriptor
intra-articular,anatomically-related descriptor
set of labial branches of mental nerve,set of nerves
hysterosalpingography,imaging procedure
branch of left greater palatine nerve to gingiva,branch of greater palatine nerve to gingiva
distal tendon of left pectoralis major,distal tendon of pectoralis major
superior angle of scapula,zone of superior part of body of scapula
set of neck vessels,set of blood vessels
intra-articular ligament,skeletal ligament
white communicating ramus of right third intercostal nerve,white communicating ramus of third intercostal nerve
neuronal component of gray matter of segment of brain,neuronal component of neuraxis
Tolosa-Hunt syndrome,inflammation
collateral branch of left sixth intercostal nerve,collateral branch of sixth intercostal nerve
brodmann area 19 of left inferior temporal gyrus,brodmann area 19 of inferior temporal gyrus
sulcomarginal fasciculus,fasciculus of spinal cord
root of right eleventh thoracic nerve,root of eleventh thoracic nerve
feeding vessel sign,imaging sign
head of radius,head of long bone
brodmann area 25 of left inferior frontal gyrus,brodmann area 25 of inferior frontal gyrus
set of all thoracic spinal ganglia,set of spinal ganglia
right third intercostal nerve,third intercostal nerve
middle posterior division of brachial plexus,segment of trunk of posterior division of anterior ramus of seventh cervical nerve
late complication,procedure complication timing
J sign,imaging sign
deep intratendinous olecranon bursa,olecranon bursa
radiate layer of right hippocampus proper,radiate layer of hippocampus proper
RID6818,Obsolete Radlex Term
developmental,acquired
tendon of first lumbrical of foot,tendon of lumbrical of foot
posterior lobe part of left dentate nucleus,posterior lobe part of dentate nucleus
nonionic gadolinium chelate,gadolinium chelate
long head of triceps muscle branch of right posterior circumflex humeral artery,long head of triceps muscle branch of posterior circumflex humeral artery
superior posterior division segment of C5 root of inferior subscapular nerve,segment of C5 root of inferior subscapular nerve
articular cartilage of head of left femur,articular cartilage of head of femur
head of right sartorius,head of sartorius
trunk proper of posterior division of anterior ramus of left eighth cervical nerve,trunk proper of posterior division of anterior ramus of eighth cervical nerve
lateral lumbar intertransversarius,lumbar intertransversarius
gray communicating ramus of right second lumbar nerve,gray communicating ramus of second lumbar nerve
zygomaticus major muscle,external muscle of mouth
brodmann area 22 of insula,segment of Brodmann area 22
telangiectatic focal nodular hyperplasia,focal nodular hyperplasia
branch of posterior circumflex humeral artery,branch of subclavian artery
radicular branch of spinal branch of right fourth lumbar artery,radicular branch of spinal branch of fourth lumbar artery
s1 root of posterior division of sacral plexus,branch of anterior ramus of first sacral nerve
trunk of anterior ramus of left eighth cervical nerve,trunk of anterior ramus of eighth cervical nerve
malakoplakia,inflammation
cyst,focal proliferation
meningeal branch of right vagus nerve,meningeal branch of vagus nerve
thoracic cardiac branch of vagus nerve,cardiac branch of vagus nerve
Tc-99m sulfur colloid,radiopharmaceutical
internal surface of trigone of urinary bladder,internal surface of subdivision of urinary bladder
tendinosis,musculoskeletal degeneration
